,first,last,nickname,height_inches,weight_lbs,reach_inches,stance,win,loss,draw,belt
2496,Tarec,Saffiedine,Sponge,70.0,170,70.0,Switch,16.0,7.0,0.0,
2497,Jason,Saggo,,71.0,155,71.0,Orthodox,12.0,4.0,0.0,
2498,Ovince,Saint Preux,,75.0,205,80.0,Southpaw,23.0,12.0,0.0,
2499,Lukasz,Sajewski,Wookie,68.0,155,71.0,Orthodox,13.0,3.0,0.0,
2500,Yukio,Sakaguchi,,69.0,185,--,Orthodox,6.0,6.0,0.0,
2501,Augusto,Sakai,,76.0,265,--,Orthodox,12.0,1.0,1.0,
2502,Alessio,Sakara,Legionarius,72.0,185,72.0,Orthodox,19.0,11.0,0.0,
2503,Wataru,Sakata,,69.0,195,--,Southpaw,11.0,13.0,0.0,
2504,Gokhan,Saki,The Rebel,72.0,205,73.0,Orthodox,1.0,2.0,0.0,
2505,Kazushi,Sakuraba,The Gracie Hunter,72.0,185,--,Southpaw,26.0,16.0,1.0,
2506,Hayato,Sakurai,Mach,67.0,168,--,Orthodox,36.0,12.0,2.0,
2507,Ryuta,Sakurai,,67.0,183,--,Orthodox,22.0,16.0,6.0,
2508,Justin,Salas,J-Bomb,68.0,155,70.0,Southpaw,12.0,7.0,0.0,
2509,Ivan,Salaverry,,72.0,185,--,Orthodox,13.0,8.0,0.0,
2510,Roman,Salazar,El Gallito,67.0,135,67.0,Orthodox,9.0,4.0,0.0,
2511,John,Salgado,Greco,70.0,170,--,,4.0,7.0,1.0,
2512,Muslim,Salikhov,King of Kung Fu,71.0,170,70.0,Orthodox,14.0,2.0,0.0,
2513,Gabriel,Salinas-Jones,,73.0,245,--,,5.0,2.0,1.0,
2514,Brandon,Saling,White Steel,70.0,170,--,,8.0,6.0,0.0,
2515,Sean,Salmon,,70.0,185,--,Southpaw,18.0,17.0,0.0,
2516,Boston,Salmon,Boom Boom,69.0,135,69.0,Southpaw,5.0,1.0,0.0,
2517,John,Salter,,73.0,185,74.0,Southpaw,8.0,2.0,0.0,
2518,Josh,Samman,Anqa,75.0,185,79.0,Orthodox,12.0,5.0,0.0,
2519,Johnny,Sampaio,,68.0,170,--,Orthodox,3.0,1.0,0.0,
2520,Joshua,Sampo,The Gremlin,64.0,125,64.0,Orthodox,11.0,5.0,0.0,
2521,Josh,San Diego,JSD,70.0,135,--,,7.0,3.0,0.0,
2522,Diego,Sanchez,Nightmare,70.0,170,72.0,Southpaw,30.0,11.0,0.0,
2523,Eddie,Sanchez,The Manic Hispanic,74.0,230,74.0,Orthodox,13.0,5.0,0.0,
2524,Julian,Sanchez,,75.0,300,--,Orthodox,0.0,1.0,0.0,
2525,Bobby,Sanchez,The Kid,67.0,155,--,Orthodox,6.0,17.0,0.0,
2526,Donald,Sanchez,,70.0,145,--,,29.0,13.0,0.0,
2527,Joby,Sanchez,,66.0,135,68.0,Orthodox,11.0,4.0,0.0,
2528,Emmanuel,Sanchez,El Matador,69.0,145,71.0,,15.0,3.0,0.0,
2529,Erick,Sanchez,,70.0,145,--,,8.0,3.0,0.0,
2530,Andrew,Sanchez,El Dirte,73.0,185,74.0,Orthodox,11.0,4.0,0.0,
2531,Roberto,Sanchez,Littlefury,66.0,125,66.0,Orthodox,8.0,2.0,0.0,
2532,Jesse,Sanders,,72.0,170,--,Orthodox,22.0,6.0,0.0,
2533,Luke,Sanders,Cool Hand,66.0,135,67.0,Southpaw,12.0,3.0,0.0,
2534,Jerrod,Sanders,J-Reazie,68.0,135,72.0,Orthodox,15.0,3.0,0.0,
2535,Cory,Sandhagen,,71.0,135,70.0,Switch,9.0,1.0,0.0,
