,dict_type,dataset,num_obs,model_name,accuracy,precision,recall,roc_auc
61,cumu_dfs_dict,Exact Data: 7 Fight Lookback Window,1348,SGDClassifier,0.5052099378490688,0.49629957780213535,0.5429938482570063,0.506538518188955
62,cumu_dfs_dict,Exact Data: 7 Fight Lookback Window,1348,MLPClassifier,0.5622943362023458,0.5539533889079389,0.55062656641604,0.5692518239136689
63,cumu_dfs_dict,Exact Data: 8 Fight Lookback Window,1026,LogisticRegression,0.5537502379592614,0.5430558414619391,0.5588712871287129,0.5828061509447647
64,cumu_dfs_dict,Exact Data: 8 Fight Lookback Window,1026,RandomForestClassifier,0.5205406434418427,0.5135234916491545,0.4592475247524753,0.5295937647336161
65,cumu_dfs_dict,Exact Data: 8 Fight Lookback Window,1026,SVC,0.5614886731391586,0.5536494202491994,0.5448118811881189,0.5832635730606027
66,cumu_dfs_dict,Exact Data: 8 Fight Lookback Window,1026,KNeighborsClassifier,0.5614696363982485,0.5572828424497429,0.520990099009901,0.5646061092372974
67,cumu_dfs_dict,Exact Data: 8 Fight Lookback Window,1026,DecisionTreeClassifier,0.5068151532457643,0.5001713282783387,0.5090495049504951,0.5068599173104124
68,cumu_dfs_dict,Exact Data: 8 Fight Lookback Window,1026,GaussianNB,0.5467351989339424,0.5390004332467894,0.5088910891089109,0.5524556631487324
69,cumu_dfs_dict,Exact Data: 8 Fight Lookback Window,1026,Perceptron,0.5215400723396154,0.5182608977908101,0.4868316831683169,0.5364951945744025
70,cumu_dfs_dict,Exact Data: 8 Fight Lookback Window,1026,SGDClassifier,0.5312107367218731,0.5217721990725672,0.5186930693069307,0.5562520309723279
71,cumu_dfs_dict,Exact Data: 8 Fight Lookback Window,1026,MLPClassifier,0.551770416904626,0.543270056919502,0.5448316831683168,0.5688620842853516
72,cumu_dfs_dict,Exact Data: 9 Fight Lookback Window,782,LogisticRegression,0.5780593531528398,0.5699991512552488,0.5719070403280929,0.6015508654403557
73,cumu_dfs_dict,Exact Data: 9 Fight Lookback Window,782,RandomForestClassifier,0.5152453203942828,0.5068915700103612,0.4960013670539986,0.5340498109485451
74,cumu_dfs_dict,Exact Data: 9 Fight Lookback Window,782,SVC,0.5716820765700981,0.5615263855631002,0.5668489405331509,0.5907838443202367
75,cumu_dfs_dict,Exact Data: 9 Fight Lookback Window,782,KNeighborsClassifier,0.5805082897377944,0.5753287020786031,0.5510252904989748,0.5878604956003357
76,cumu_dfs_dict,Exact Data: 9 Fight Lookback Window,782,DecisionTreeClassifier,0.5142018723691212,0.5064386429762375,0.5482228298017772,0.5149025541413949
77,cumu_dfs_dict,Exact Data: 9 Fight Lookback Window,782,GaussianNB,0.5806900475731377,0.5757776148952619,0.5431989063568011,0.5909935854452011
78,cumu_dfs_dict,Exact Data: 9 Fight Lookback Window,782,Perceptron,0.5525086795951805,0.5551667780786912,0.4726930963773069,0.5591527617951668
79,cumu_dfs_dict,Exact Data: 9 Fight Lookback Window,782,SGDClassifier,0.5076846159114498,0.5011778740578076,0.5039644565960355,0.5487620049836905
80,cumu_dfs_dict,Exact Data: 9 Fight Lookback Window,782,MLPClassifier,0.5589509675312018,0.5558283378464741,0.5119275461380723,0.605022739169558
81,cumu_dfs_dict,Exact Data: 10 Fight Lookback Window,572,LogisticRegression,0.5506654567453115,0.5412680850898952,0.5621553884711779,0.5628675538935005
82,cumu_dfs_dict,Exact Data: 10 Fight Lookback Window,572,RandomForestClassifier,0.5156684815486993,0.5095727298011403,0.43057644110275684,0.516938450377844
83,cumu_dfs_dict,Exact Data: 10 Fight Lookback Window,572,SVC,0.5700846944948579,0.5634874396910832,0.5553258145363408,0.5659574674558987
84,cumu_dfs_dict,Exact Data: 10 Fight Lookback Window,572,KNeighborsClassifier,0.5782214156079855,0.5734890781365459,0.5618421052631579,0.5928305201929429
85,cumu_dfs_dict,Exact Data: 10 Fight Lookback Window,572,DecisionTreeClassifier,0.5052631578947369,0.49696518133455525,0.5160401002506265,0.5054484545671601
86,cumu_dfs_dict,Exact Data: 10 Fight Lookback Window,572,GaussianNB,0.5891107078039928,0.5845825222607696,0.5695488721804511,0.5814951427370295
87,cumu_dfs_dict,Exact Data: 10 Fight Lookback Window,572,Perceptron,0.5262250453720508,0.5117296657863296,0.5196741854636592,0.5209930143886894
88,cumu_dfs_dict,Exact Data: 10 Fight Lookback Window,572,SGDClassifier,0.520961887477314,0.5101528822055137,0.4694862155388472,0.5338024341977093
89,cumu_dfs_dict,Exact Data: 10 Fight Lookback Window,572,MLPClassifier,0.5506352087114339,0.5411325772057263,0.544360902255639,0.5804715067915259
90,cumu_dfs_dict,Cumulative Data: 1 Fight Lookback Window,6914,LogisticRegression,0.5559756740252462,0.5480721976976465,0.5567387924332727,0.5726852487786941
91,cumu_dfs_dict,Cumulative Data: 1 Fight Lookback Window,6914,RandomForestClassifier,0.5876393849911747,0.585095413113393,0.5590735941953874,0.6194978990471073
92,cumu_dfs_dict,Cumulative Data: 1 Fight Lookback Window,6914,SVC,0.5734645692345014,0.5703905058337047,0.5405515245745874,0.5989455241620378
93,cumu_dfs_dict,Cumulative Data: 1 Fight Lookback Window,6914,KNeighborsClassifier,0.54570761148708,0.5410593317928422,0.5061751749157813,0.555986732236988
94,cumu_dfs_dict,Cumulative Data: 1 Fight Lookback Window,6914,DecisionTreeClassifier,0.5250217494959972,0.5172413204201757,0.5196946531916732,0.5249383285289438
95,cumu_dfs_dict,Cumulative Data: 1 Fight Lookback Window,6914,GaussianNB,0.5020285587612825,0.49764926366153234,0.7709963721171288,0.5396983125922141
