,fighter_1,fighter_2,end_round,end_time,winner,date,fight_url,f1_r1_kds,f1_r1_sigstrikes_l,f1_r1_sigstrikes_a,f1_r1_strikes_l,f1_r1_strikes_a,f1_r1_tds_l,f1_r1_tds_a,f1_r1_subs_a,f1_r1_passes,f1_r1_revs,f1_r1_ss_head_l,f1_r1_ss_head_a,f1_r1_ss_body_l,f1_r1_ss_body_a,f1_r1_ss_leg_l,f1_r1_ss_leg_a,f1_r1_ss_dist_l,f1_r1_ss_dist_a,f1_r1_ss_clinch_l,f1_r1_ss_clinch_a,f1_r1_ss_ground_l,f1_r1_ss_ground_a,f2_r1_kds,f2_r1_sigstrikes_l,f2_r1_sigstrikes_a,f2_r1_strikes_l,f2_r1_strikes_a,f2_r1_tds_l,f2_r1_tds_a,f2_r1_subs_a,f2_r1_passes,f2_r1_revs,f2_r1_ss_head_l,f2_r1_ss_head_a,f2_r1_ss_body_l,f2_r1_ss_body_a,f2_r1_ss_leg_l,f2_r1_ss_leg_a,f2_r1_ss_dist_l,f2_r1_ss_dist_a,f2_r1_ss_clinch_l,f2_r1_ss_clinch_a,f2_r1_ss_ground_l,f2_r1_ss_ground_a,f1_r2_kds,f1_r2_sigstrikes_l,f1_r2_sigstrikes_a,f1_r2_strikes_l,f1_r2_strikes_a,f1_r2_tds_l,f1_r2_tds_a,f1_r2_subs_a,f1_r2_passes,f1_r2_revs,f1_r2_ss_head_l,f1_r2_ss_head_a,f1_r2_ss_body_l,f1_r2_ss_body_a,f1_r2_ss_leg_l,f1_r2_ss_leg_a,f1_r2_ss_dist_l,f1_r2_ss_dist_a,f1_r2_ss_clinch_l,f1_r2_ss_clinch_a,f1_r2_ss_ground_l,f1_r2_ss_ground_a,f2_r2_kds,f2_r2_sigstrikes_l,f2_r2_sigstrikes_a,f2_r2_strikes_l,f2_r2_strikes_a,f2_r2_tds_l,f2_r2_tds_a,f2_r2_subs_a,f2_r2_passes,f2_r2_revs,f2_r2_ss_head_l,f2_r2_ss_head_a,f2_r2_ss_body_l,f2_r2_ss_body_a,f2_r2_ss_leg_l,f2_r2_ss_leg_a,f2_r2_ss_dist_l,f2_r2_ss_dist_a,f2_r2_ss_clinch_l,f2_r2_ss_clinch_a,f2_r2_ss_ground_l,f2_r2_ss_ground_a,f1_r3_kds,f1_r3_sigstrikes_l,f1_r3_sigstrikes_a,f1_r3_strikes_l,f1_r3_strikes_a,f1_r3_tds_l,f1_r3_tds_a,f1_r3_subs_a,f1_r3_passes,f1_r3_revs,f1_r3_ss_head_l,f1_r3_ss_head_a,f1_r3_ss_body_l,f1_r3_ss_body_a,f1_r3_ss_leg_l,f1_r3_ss_leg_a,f1_r3_ss_dist_l,f1_r3_ss_dist_a,f1_r3_ss_clinch_l,f1_r3_ss_clinch_a,f1_r3_ss_ground_l,f1_r3_ss_ground_a,f2_r3_kds,f2_r3_sigstrikes_l,f2_r3_sigstrikes_a,f2_r3_strikes_l,f2_r3_strikes_a,f2_r3_tds_l,f2_r3_tds_a,f2_r3_subs_a,f2_r3_passes,f2_r3_revs,f2_r3_ss_head_l,f2_r3_ss_head_a,f2_r3_ss_body_l,f2_r3_ss_body_a,f2_r3_ss_leg_l,f2_r3_ss_leg_a,f2_r3_ss_dist_l,f2_r3_ss_dist_a,f2_r3_ss_clinch_l,f2_r3_ss_clinch_a,f2_r3_ss_ground_l,f2_r3_ss_ground_a,f1_r4_kds,f1_r4_sigstrikes_l,f1_r4_sigstrikes_a,f1_r4_strikes_l,f1_r4_strikes_a,f1_r4_tds_l,f1_r4_tds_a,f1_r4_subs_a,f1_r4_passes,f1_r4_revs,f1_r4_ss_head_l,f1_r4_ss_head_a,f1_r4_ss_body_l,f1_r4_ss_body_a,f1_r4_ss_leg_l,f1_r4_ss_leg_a,f1_r4_ss_dist_l,f1_r4_ss_dist_a,f1_r4_ss_clinch_l,f1_r4_ss_clinch_a,f1_r4_ss_ground_l,f1_r4_ss_ground_a,f2_r4_kds,f2_r4_sigstrikes_l,f2_r4_sigstrikes_a,f2_r4_strikes_l,f2_r4_strikes_a,f2_r4_tds_l,f2_r4_tds_a,f2_r4_subs_a,f2_r4_passes,f2_r4_revs,f2_r4_ss_head_l,f2_r4_ss_head_a,f2_r4_ss_body_l,f2_r4_ss_body_a,f2_r4_ss_leg_l,f2_r4_ss_leg_a,f2_r4_ss_dist_l,f2_r4_ss_dist_a,f2_r4_ss_clinch_l,f2_r4_ss_clinch_a,f2_r4_ss_ground_l,f2_r4_ss_ground_a,f1_r5_kds,f1_r5_sigstrikes_l,f1_r5_sigstrikes_a,f1_r5_strikes_l,f1_r5_strikes_a,f1_r5_tds_l,f1_r5_tds_a,f1_r5_subs_a,f1_r5_passes,f1_r5_revs,f1_r5_ss_head_l,f1_r5_ss_head_a,f1_r5_ss_body_l,f1_r5_ss_body_a,f1_r5_ss_leg_l,f1_r5_ss_leg_a,f1_r5_ss_dist_l,f1_r5_ss_dist_a,f1_r5_ss_clinch_l,f1_r5_ss_clinch_a,f1_r5_ss_ground_l,f1_r5_ss_ground_a,f2_r5_kds,f2_r5_sigstrikes_l,f2_r5_sigstrikes_a,f2_r5_strikes_l,f2_r5_strikes_a,f2_r5_tds_l,f2_r5_tds_a,f2_r5_subs_a,f2_r5_passes,f2_r5_revs,f2_r5_ss_head_l,f2_r5_ss_head_a,f2_r5_ss_body_l,f2_r5_ss_body_a,f2_r5_ss_leg_l,f2_r5_ss_leg_a,f2_r5_ss_dist_l,f2_r5_ss_dist_a,f2_r5_ss_clinch_l,f2_r5_ss_clinch_a,f2_r5_ss_ground_l,f2_r5_ss_ground_a
4452,"Jason Von Flue ""Live Wire""","Alex Karalexis ""The Assassin""",3,1:17,"Jason Von Flue ""Live Wire""",2006-01-16,http://ufcstats.com/fight-details/d0fcabb07a3e9500,0,12,21,15,24,0,1,1,0,0,5,11,7,10,0,0,4,9,8,12,0,0,0,6,20,10,24,1,4,0,1,0,5,11,7,10,0,0,4,9,8,12,0,0,0,12,21,15,24,0,1,1,0,0,5,17,0,2,1,1,1,12,3,6,2,2,0,10,31,22,43,0,0,2,0,0,11,31,3,5,0,0,7,24,7,12,0,0,0,14,36,32,54,0,1,0,0,0,7,28,2,2,1,1,3,18,7,13,0,0,0,2,9,3,10,0,1,1,0,0,2,9,0,2,0,0,2,9,0,2,0,0,0,2,11,3,12,0,0,1,1,0,2,9,0,0,0,0,2,9,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4453,"Rich Franklin ""Ace""","Nate Quarry ""Rock""",1,2:34,"Rich Franklin ""Ace""",2005-11-19,http://ufcstats.com/fight-details/2dfda46cbc17bc99,2,13,34,15,36,0,0,0,0,0,10,30,2,2,1,2,8,29,3,3,2,2,0,4,20,4,20,0,0,0,0,0,10,30,2,2,1,2,8,29,3,3,2,2,2,13,34,15,36,0,0,0,0,0,3,17,1,2,0,1,2,16,2,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4454,"Gabriel Gonzaga ""Napao""","Kevin Jordan ""The Shaman""",3,4:39,"Gabriel Gonzaga ""Napao""",2005-11-19,http://ufcstats.com/fight-details/670db5afcb26df7c,0,9,19,40,51,1,3,2,6,0,8,18,1,1,0,0,0,1,1,2,8,16,0,4,9,5,10,0,0,0,0,0,8,18,1,1,0,0,0,1,1,2,8,16,0,9,19,40,51,1,3,2,6,0,2,7,2,2,0,0,3,8,1,1,0,0,0,8,21,8,21,0,0,0,0,0,2,10,0,0,3,4,4,13,0,0,1,1,0,5,14,14,24,1,3,0,1,0,7,20,0,0,1,1,8,21,0,0,0,0,0,6,23,6,23,0,0,0,0,0,3,16,0,0,6,7,7,20,0,1,2,2,1,9,23,9,23,0,3,0,0,0,6,22,0,0,0,1,6,23,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4455,Matt Hughes,"Joe Riggs ""Diesel""",1,3:28,Matt Hughes,2005-11-19,http://ufcstats.com/fight-details/8062a7852a8b1560,0,8,13,9,14,1,1,2,1,0,1,6,7,7,0,0,2,6,1,1,5,6,0,1,5,1,5,0,0,0,0,0,1,6,7,7,0,0,2,6,1,1,5,6,0,8,13,9,14,1,1,2,1,0,0,4,1,1,0,0,0,4,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4456,"Georges St-Pierre ""Rush""","Sean Sherk ""The Muscle Shark""",2,2:53,"Georges St-Pierre ""Rush""",2005-11-19,http://ufcstats.com/fight-details/388df822e50b04f8,0,32,62,43,74,2,3,0,1,0,23,53,7,7,2,2,18,41,7,7,7,14,0,15,29,26,40,0,2,0,0,0,23,53,7,7,2,2,18,41,7,7,7,14,0,32,62,43,74,2,3,0,1,0,2,13,6,6,7,10,8,22,7,7,0,0,0,5,26,6,27,0,1,0,0,0,22,45,4,4,0,0,16,31,0,0,10,18,0,26,49,35,58,1,1,0,0,0,3,24,0,0,2,2,5,23,0,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4457,"Jeremy Horn ""Gumby""",Trevor Prangley,3,5:00,"Jeremy Horn ""Gumby""",2005-11-19,http://ufcstats.com/fight-details/5f9d5ebe5ec28753,0,15,27,19,32,0,0,1,0,0,8,18,3,5,4,4,8,12,7,15,0,0,0,16,35,20,39,1,1,0,1,0,8,18,3,5,4,4,8,12,7,15,0,0,0,15,27,19,32,0,0,1,0,0,5,23,1,2,10,10,5,23,10,10,1,2,0,15,28,30,45,3,5,0,0,0,7,18,8,9,1,1,4,9,12,19,0,0,0,16,28,21,34,0,0,0,0,0,8,21,6,6,1,1,3,8,9,13,3,7,0,7,15,27,38,3,4,0,2,0,4,13,1,1,2,2,6,12,0,2,1,2,0,7,16,27,36,0,3,0,0,0,4,12,0,0,3,3,3,9,2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4458,"Sam Hoger ""The Alaskan Assassin""",Jeff Newton,2,2:05,"Sam Hoger ""The Alaskan Assassin""",2005-11-19,http://ufcstats.com/fight-details/84c510ab7e764598,0,0,3,20,25,2,2,1,1,0,0,3,0,0,0,0,0,1,0,0,0,2,0,1,5,2,6,0,0,3,0,0,0,3,0,0,0,0,0,1,0,0,0,2,0,0,3,20,25,2,2,1,1,0,1,4,0,1,0,0,1,5,0,0,0,0,0,1,5,2,6,0,0,1,0,0,10,18,0,0,0,0,0,1,0,0,10,17,0,10,18,15,23,1,1,1,4,0,1,5,0,0,0,0,1,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4459,"Thiago Alves ""Pitbull""",Ansar Chalangov,1,2:25,"Thiago Alves ""Pitbull""",2005-11-19,http://ufcstats.com/fight-details/678af75cb4c155a9,0,8,11,9,12,1,1,0,2,0,5,8,2,2,1,1,2,2,2,2,4,7,0,2,2,2,2,0,2,2,1,1,5,8,2,2,1,1,2,2,2,2,4,7,0,8,11,9,12,1,1,0,2,0,1,1,0,0,1,1,0,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4460,"Nick Thompson ""The Goat""","Keith Wisniewski ""The Polish Connection""",3,5:00,"Nick Thompson ""The Goat""",2005-11-19,http://ufcstats.com/fight-details/57b5e8bda9447b77,0,11,40,16,45,0,0,1,0,1,4,32,5,6,2,2,7,31,1,4,3,5,0,6,13,11,18,2,3,0,1,0,4,32,5,6,2,2,7,31,1,4,3,5,0,11,40,16,45,0,0,1,0,1,3,10,2,2,1,1,1,7,2,2,3,4,0,4,10,4,10,1,2,0,0,0,10,28,6,6,1,1,3,16,0,0,14,19,0,17,35,52,72,0,0,0,2,1,3,9,1,1,0,0,4,10,0,0,0,0,0,4,17,8,21,0,0,0,2,1,17,29,3,3,0,0,3,8,5,11,12,13,0,20,32,40,53,1,1,2,5,1,3,16,1,1,0,0,2,10,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4461,"Diego Sanchez ""Nightmare""",Nick Diaz,3,5:00,"Diego Sanchez ""Nightmare""",2005-11-05,http://ufcstats.com/fight-details/2eb9b36c09c00d69,0,15,40,19,44,2,2,0,2,0,11,36,4,4,0,0,1,1,1,1,13,38,0,3,6,39,45,1,2,0,0,0,11,36,4,4,0,0,1,1,1,1,13,38,0,15,40,19,44,2,2,0,2,0,3,6,0,0,0,0,1,1,2,5,0,0,0,5,14,41,51,0,1,0,0,1,10,22,7,8,0,0,0,2,2,3,15,25,0,17,30,31,45,1,3,0,0,0,5,14,0,0,0,0,2,9,2,2,1,3,0,5,14,38,48,1,2,1,0,0,8,24,1,1,0,0,2,6,0,1,7,18,0,9,25,15,34,2,6,1,1,0,5,14,0,0,0,0,3,11,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4462,"Rashad Evans ""Suga""","Brad Imes ""Hillbilly Heartthrob""",3,5:00,"Rashad Evans ""Suga""",2005-11-05,http://ufcstats.com/fight-details/c22f4a7540cffdda,1,16,31,19,34,0,0,0,1,0,14,29,2,2,0,0,7,17,7,9,2,5,0,9,40,10,41,1,2,0,1,0,14,29,2,2,0,0,7,17,7,9,2,5,1,16,31,19,34,0,0,0,1,0,6,34,3,6,0,0,5,31,4,9,0,0,0,13,69,13,69,0,0,0,0,0,14,31,0,0,0,0,14,30,0,1,0,0,0,14,31,14,31,0,0,0,0,0,12,66,1,3,0,0,12,54,1,15,0,0,0,20,55,22,58,1,1,1,1,0,18,34,0,0,0,0,12,25,3,4,3,5,1,18,34,20,38,0,0,0,2,0,16,49,4,6,0,0,10,39,7,12,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4463,"Joe Stevenson ""Daddy""",Luke Cummo,3,5:00,"Joe Stevenson ""Daddy""",2005-11-05,http://ufcstats.com/fight-details/e364cd5772cfd27c,0,17,20,34,39,2,3,1,6,0,14,17,3,3,0,0,2,2,0,0,15,18,0,2,5,8,11,0,0,0,0,0,14,17,3,3,0,0,2,2,0,0,15,18,0,17,20,34,39,2,3,1,6,0,1,3,1,2,0,0,2,4,0,1,0,0,0,9,18,23,32,1,1,0,0,0,1,8,1,1,0,0,0,4,1,1,1,4,0,2,9,15,23,1,2,1,6,1,8,17,1,1,0,0,5,14,1,1,3,3,0,9,16,35,48,0,0,1,1,0,0,2,1,2,0,0,0,2,1,1,0,1,0,1,4,9,15,2,4,0,1,0,8,15,1,1,0,0,1,2,2,2,6,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4464,"Kenny Florian ""KenFlo""","Kit Cope ""Havoc""",2,0:37,"Kenny Florian ""KenFlo""",2005-11-05,http://ufcstats.com/fight-details/19646a0c8baee966,0,10,19,37,49,2,7,1,3,0,6,12,3,5,1,2,1,3,3,4,6,12,0,8,14,11,18,0,0,0,0,0,6,12,3,5,1,2,1,3,3,4,6,12,0,10,19,37,49,2,7,1,3,0,6,12,1,1,1,1,1,4,5,7,2,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4465,"Joshua Burkman ""The People's Warrior""","Sammy Morgan ""The Squeeze""",1,0:21,"Joshua Burkman ""The People's Warrior""",2005-11-05,http://ufcstats.com/fight-details/e050c299ffa1f2d3,0,4,5,4,5,1,1,0,0,0,3,4,0,0,1,1,1,2,0,0,3,3,0,1,2,1,2,0,0,0,0,0,3,4,0,0,1,1,1,2,0,0,3,3,0,4,5,4,5,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4466,"Melvin Guillard ""The Young Assassin""","Marcus Davis ""The Irish Hand Grenade""",2,2:55,"Melvin Guillard ""The Young Assassin""",2005-11-05,http://ufcstats.com/fight-details/f846fd001397db45,0,7,17,8,18,2,2,1,2,0,5,13,1,2,1,2,4,11,0,0,3,6,0,3,10,39,51,0,1,0,0,0,5,13,1,2,1,2,4,11,0,0,3,6,0,7,17,8,18,2,2,1,2,0,3,8,0,0,0,2,1,7,0,0,2,3,0,0,6,28,34,0,0,0,0,0,11,21,0,0,1,1,1,4,0,0,11,18,0,12,22,13,23,1,1,0,1,0,0,6,0,0,0,0,0,6,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4467,"Keith Jardine ""The Dean of Mean""","Kerry Schall ""Meat Truck""",2,3:28,"Keith Jardine ""The Dean of Mean""",2005-11-05,http://ufcstats.com/fight-details/39c4f4a1aff68189,0,23,69,23,69,0,0,0,0,0,12,57,4,5,7,7,23,69,0,0,0,0,0,5,44,5,44,0,0,0,0,0,12,57,4,5,7,7,23,69,0,0,0,0,0,23,69,23,69,0,0,0,0,0,5,43,0,1,0,0,5,44,0,0,0,0,0,3,24,3,24,0,0,0,0,0,7,30,2,2,9,10,18,42,0,0,0,0,1,18,42,18,42,0,0,0,0,0,2,23,0,0,1,1,3,24,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4468,"Andrei Arlovski ""The Pitbull""","Paul Buentello ""The Headhunter""",1,0:15,"Andrei Arlovski ""The Pitbull""",2005-10-07,http://ufcstats.com/fight-details/1c45d0feab67364f,1,2,6,2,6,0,0,0,0,0,2,6,0,0,0,0,2,6,0,0,0,0,0,1,3,1,3,0,0,0,0,0,2,6,0,0,0,0,2,6,0,0,0,0,1,2,6,2,6,0,0,0,0,0,1,3,0,0,0,0,1,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4469,"Branden Lee Hinkle ""The Iron Lion""","Sean Gannon ""The Cannon""",1,4:14,"Branden Lee Hinkle ""The Iron Lion""",2005-10-07,http://ufcstats.com/fight-details/f8a90f8a7beaa330,0,27,38,40,52,1,2,3,4,0,20,31,7,7,0,0,0,0,2,2,25,36,0,0,3,8,12,0,0,0,0,0,20,31,7,7,0,0,0,0,2,2,25,36,0,27,38,40,52,1,2,3,4,0,0,3,0,0,0,0,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4470,Forrest Griffin,"Elvis Sinosic ""The King of Rock n' Rumble""",1,3:30,Forrest Griffin,2005-10-07,http://ufcstats.com/fight-details/e917559aedf85a98,1,30,82,30,82,0,0,0,0,0,22,69,1,5,7,8,24,71,5,10,1,1,0,18,47,18,47,0,0,0,0,0,22,69,1,5,7,8,24,71,5,10,1,1,1,30,82,30,82,0,0,0,0,0,9,36,1,1,8,10,15,44,3,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4471,"Renato Sobral ""Babalu""",Chael Sonnen,2,1:20,"Renato Sobral ""Babalu""",2005-10-07,http://ufcstats.com/fight-details/75926dd5b984aa06,0,9,14,13,18,3,5,2,0,0,5,10,3,3,1,1,3,4,5,8,1,2,0,11,19,50,59,0,3,0,0,0,5,10,3,3,1,1,3,4,5,8,1,2,0,9,14,13,18,3,5,2,0,0,9,16,1,2,1,1,2,4,2,3,7,12,0,1,5,6,10,0,0,0,0,0,1,2,0,0,1,1,1,1,0,0,1,2,0,2,3,2,3,1,1,1,0,0,1,4,0,1,0,0,0,2,0,0,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4472,"Joe Riggs ""Diesel""","Chris Lytle ""Lights Out""",2,2:00,"Joe Riggs ""Diesel""",2005-10-07,http://ufcstats.com/fight-details/f15be91b30b11e0c,0,13,23,23,34,0,0,1,1,1,13,22,0,1,0,0,0,1,1,1,12,21,0,1,3,35,43,1,2,0,1,0,13,22,0,1,0,0,0,1,1,1,12,21,0,13,23,23,34,0,0,1,1,1,1,3,0,0,0,0,0,2,0,0,1,1,0,2,5,17,20,0,0,0,1,1,2,2,0,0,0,0,1,1,0,0,1,1,0,2,2,3,3,1,1,0,0,0,2,5,0,0,0,0,1,2,0,0,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4473,"Jorge Rivera ""El Conquistador""","Dennis Hallman ""Superman""",3,5:00,"Jorge Rivera ""El Conquistador""",2005-10-07,http://ufcstats.com/fight-details/06a75406d3dd5cfd,0,19,32,28,44,0,0,0,0,1,13,26,5,5,1,1,1,2,4,6,14,24,0,2,3,5,6,1,4,2,1,0,13,26,5,5,1,1,1,2,4,6,14,24,0,19,32,28,44,0,0,0,0,1,1,2,1,1,0,0,0,1,2,2,0,0,0,8,16,8,16,0,1,0,0,0,16,28,6,7,1,2,7,13,16,23,0,1,0,23,37,53,69,0,0,0,0,0,6,13,2,2,0,1,1,3,7,13,0,0,0,2,10,2,10,0,1,0,0,0,2,11,0,0,7,12,4,15,0,0,5,8,0,9,23,13,28,0,0,0,0,0,0,7,1,2,1,1,2,7,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4474,"Marcio Cruz ""Pe de Pano""",Keigo Kunihara,2,1:02,"Marcio Cruz ""Pe de Pano""",2005-10-07,http://ufcstats.com/fight-details/fea1931b041cc5ff,0,9,22,15,28,0,2,0,0,0,2,15,0,0,7,7,9,22,0,0,0,0,0,1,8,8,16,2,4,0,1,0,2,15,0,0,7,7,9,22,0,0,0,0,0,9,22,15,28,0,2,0,0,0,1,6,0,1,0,1,0,6,0,0,1,2,0,0,2,2,4,0,1,1,0,0,0,3,1,1,2,2,2,5,1,1,0,0,0,3,6,4,8,0,0,1,1,0,0,2,0,0,0,0,0,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4475,"Alessio Sakara ""Legionarius""",Ron Faircloth,2,0:10,No Winner,2005-10-07,http://ufcstats.com/fight-details/2aa175f3ebffcdf2,1,46,78,62,96,0,0,0,0,0,44,76,2,2,0,0,9,16,4,6,33,56,0,1,4,16,20,0,0,0,0,0,44,76,2,2,0,0,9,16,4,6,33,56,1,46,78,62,96,0,0,0,0,0,0,2,1,1,0,1,1,3,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4476,"David Loiseau ""The Crow""",Evan Tanner,2,4:15,"David Loiseau ""The Crow""",2005-10-03,http://ufcstats.com/fight-details/5521b9bb8f220993,0,4,8,5,9,0,0,0,0,1,4,8,0,0,0,0,0,4,0,0,4,4,0,8,14,23,33,2,2,2,6,0,4,8,0,0,0,0,0,4,0,0,4,4,0,4,8,5,9,0,0,0,0,1,3,9,4,4,1,1,1,4,1,1,6,9,0,7,10,38,53,1,2,0,2,0,9,26,0,0,0,0,1,17,1,1,7,8,0,9,26,11,28,0,0,0,0,1,0,2,4,5,3,3,4,7,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4477,"Chris Leben ""The Crippler""","Edwin DeWees ""Babyface""",1,3:26,"Chris Leben ""The Crippler""",2005-10-03,http://ufcstats.com/fight-details/0731a4519d64df6d,0,5,7,19,21,0,0,1,0,0,3,5,2,2,0,0,1,1,1,2,3,4,0,5,7,13,15,1,1,2,1,0,3,5,2,2,0,0,1,1,1,2,3,4,0,5,7,19,21,0,0,1,0,0,1,2,2,3,2,2,3,3,2,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
